"Post code","Prefecture name","City name","Ward name","Town name"
6570001,Hyogo,Kobe,Nadaku,Takaha
6570023,Hyogo,Kobe,Nadaku,Takahacho
6570022,Hyogo,Kobe,Nadaku,Tsuchiyamacho
6570011,Hyogo,Kobe,Nadaku,Tsurukabuto
6570062,Hyogo,Kobe,Nadaku,Teraguchicho
6570033,Hyogo,Kobe,Nadaku,Tokuicho
6570035,Hyogo,Kobe,Nadaku,Tomodacho
6570032,Hyogo,Kobe,Nadaku,Nakagocho
6570825,Hyogo,Kobe,Nadaku,Nakaharadori
6570027,Hyogo,Kobe,Nadaku,Nagatecho
6570811,Hyogo,Kobe,Nadaku,Nagaminedai
6570835,Hyogo,Kobe,Nadaku,Nadakitadori
6570853,Hyogo,Kobe,Nadaku,Nadahamacho
6570863,Hyogo,Kobe,Nadaku,Nadahamahigashicho
6570841,Hyogo,Kobe,Nadaku,Nadaminamidori
6570102,Hyogo,Kobe,Nadaku,Hatahara(Notayama)
6570822,Hyogo,Kobe,Nadaku,Hataharadori
6570862,Hyogo,Kobe,Nadaku,Hamadacho
6570802,Hyogo,Kobe,Nadaku,Harada
6570837,Hyogo,Kobe,Nadaku,Haradadori
6570054,Hyogo,Kobe,Nadaku,Hieharacho
6570029,Hyogo,Kobe,Nadaku,Hiocho
6570041,Hyogo,Kobe,Nadaku,Biwacho
6570037,Hyogo,Kobe,Nadaku,Bingocho
6570038,Hyogo,Kobe,Nadaku,Fukadacho
6570824,Hyogo,Kobe,Nadaku,Fukuzumidori
6570842,Hyogo,Kobe,Nadaku,Funaderadori
6570855,Hyogo,Kobe,Nadaku,Mayakaigandori
6570104,Hyogo,Kobe,Nadaku,Mayasan
6570105,Hyogo,Kobe,Nadaku,Mayasancho
6570854,Hyogo,Kobe,Nadaku,Mayafuto
6570851,Hyogo,Kobe,Nadaku,Midorocho
6570812,Hyogo,Kobe,Nadaku,Minokadori
6570844,Hyogo,Kobe,Nadaku,Miyakodori
6570065,Hyogo,Kobe,Nadaku,Miyayamacho
6570028,Hyogo,Kobe,Nadaku,Morigocho
6570815,Hyogo,Kobe,Nadaku,Yakushidori
6570051,Hyogo,Kobe,Nadaku,Yahatacho
6570064,Hyogo,Kobe,Nadaku,Yamadacho
6570031,Hyogo,Kobe,Nadaku,Yamatocho
6570026,Hyogo,Kobe,Nadaku,Yuminokicho
6570101,Hyogo,Kobe,Nadaku,Rokkosancho
6570013,Hyogo,Kobe,Nadaku,Rokkodaicho
6570053,Hyogo,Kobe,Nadaku,Rokkocho
6520000,Hyogo,Kobe,Hyogoku,Ikanikeisaiganaibaai
6520882,Hyogo,Kobe,Hyogoku,Ashiharadori
6520032,Hyogo,Kobe,Hyogoku,Aratacho
6520061,Hyogo,Kobe,Hyogoku,Ishiicho
6520842,Hyogo,Kobe,Hyogoku,Isonocho
6520853,Hyogo,Kobe,Hyogoku,Imadezaikecho
6520894,Hyogo,Kobe,Hyogoku,Iriedori
6520003,Hyogo,Kobe,Hyogoku,Umemotocho
6520816,Hyogo,Kobe,Hyogoku,Eizawacho
6520898,Hyogo,Kobe,Hyogoku,Ekimaedori
6520897,Hyogo,Kobe,Hyogoku,Ekiminamidori
6520043,Hyogo,Kobe,Hyogoku,Egeyamacho
6520044,Hyogo,Kobe,Hyogoku,Oidori
6520895,Hyogo,Kobe,Hyogoku,Ogawadori
6520864,Hyogo,Kobe,Hyogoku,Kasamatsudori
6520832,Hyogo,Kobe,Hyogoku,Kajiyacho
6520008,Hyogo,Kobe,Hyogoku,Kamigioncho
6520046,Hyogo,Kobe,Hyogoku,Kamisawadori
6520013,Hyogo,Kobe,Hyogoku,Kamisanjocho
6520862,Hyogo,Kobe,Hyogoku,Kamishodori
6520001,Hyogo,Kobe,Hyogoku,Karasuharacho
6520006,Hyogo,Kobe,Hyogoku,Kandacho
6520058,Hyogo,Kobe,Hyogoku,Kikusuicho
6520837,Hyogo,Kobe,Hyogoku,Kitasakasegawacho
6520053,Hyogo,Kobe,Hyogoku,Kitayamacho
6520847,Hyogo,Kobe,Hyogoku,Kiretocho
6520873,Hyogo,Kobe,Hyogoku,Kimpeicho
6520004,Hyogo,Kobe,Hyogoku,Kusudanicho
6520064,Hyogo,Kobe,Hyogoku,Kumanocho
6520885,Hyogo,Kobe,Hyogoku,Goshodori
6520007,Hyogo,Kobe,Hyogoku,Gonomiyacho
6520865,Hyogo,Kobe,Hyogoku,Komatsudori
6520055,Hyogo,Kobe,Hyogoku,Koyamacho
6520851,Hyogo,Kobe,Hyogoku,Zaimokucho
6520051,Hyogo,Kobe,Hyogoku,Satoyamacho
6520821,Hyogo,Kobe,Hyogoku,Sabiecho
6520011,Hyogo,Kobe,Hyogoku,Sannocho
6520831,Hyogo,Kobe,Hyogoku,Shichinomiyacho
6520833,Hyogo,Kobe,Hyogoku,Shimagamicho
6520065,Hyogo,Kobe,Hyogoku,Shimizucho
6520015,Hyogo,Kobe,Hyogoku,Shimogioncho
6520047,Hyogo,Kobe,Hyogoku,Shimosawadori
6520014,Hyogo,Kobe,Hyogoku,Shimosanjocho
6520811,Hyogo,Kobe,Hyogoku,Shinkaichi
6520836,Hyogo,Kobe,Hyogoku,Shimmeicho
6520896,Hyogo,Kobe,Hyogoku,Susanodori
6520062,Hyogo,Kobe,Hyogoku,Daidocho
6520874,Hyogo,Kobe,Hyogoku,Takamatsucho
6520056,Hyogo,Kobe,Hyogoku,Takiyamacho
6520803,Hyogo,Kobe,Hyogoku,Daikaidori
6520022,Hyogo,Kobe,Hyogoku,Chidoricho
6520804,Hyogo,Kobe,Hyogoku,Tsukamotodori
6520845,Hyogo,Kobe,Hyogoku,Tsukijicho
6520023,Hyogo,Kobe,Hyogoku,Tsuyunocho
6520846,Hyogo,Kobe,Hyogoku,Dezaikecho
6520021,Hyogo,Kobe,Hyogoku,Tennocho
6520866,Hyogo,Kobe,Hyogoku,Toyahamacho
6520844,Hyogo,Kobe,Hyogoku,Nakanoshima
